team,player,role,importance_weight,notes,goals_12mo,goals_24mo,n_pens_12mo,last_goal_date,match_kind,name_matched
South Africa,Percy Tau,FWD,0.5,attacker,0,0,0,,miss,False
South Korea,Son Heung-min,FWD,1.0,captain + primary attacker,0,5,0,,exact,True
South Korea,Lee Kang-in,MID,0.7,creative midfielder,1,4,0,2025-06-10,exact,True
South Korea,Kim Min-jae,DEF,0.6,centre back,0,0,0,,miss,False
South Korea,Hwang Hee-chan,FWD,0.5,secondary striker,0,3,0,,exact,True
Spain,Lamine Yamal,FWD,1.0,Polymarket favourite-by-implication; key wide creator,2,4,1,2025-06-05,exact,True
Spain,Rodri,MID,1.0,defensive midfield engine; Ballon d'Or winner,0,1,0,,exact,True
Spain,Pedri,MID,0.8,deep playmaker; chance creation,3,3,0,2025-09-07,exact,True
Spain,Nico Williams,FWD,0.7,left wing pace + finishing,1,4,0,2025-06-05,exact,True
Spain,Aymeric Laporte,DEF,0.5,centre back; if Saudi-based form holds,0,1,0,,exact,True
Spain,Unai Simón,GK,0.4,first-choice keeper,0,0,0,,miss,False
Sweden,Alexander Isak,FWD,0.9,primary striker,0,4,0,,exact,True
Sweden,Viktor Gyökeres,FWD,0.7,secondary striker,4,13,1,2026-03-31,exact,True
Sweden,Anthony Elanga,FWD,0.5,wing pace,2,2,0,2026-03-31,exact,True
Sweden,Robin Olsen,GK,0.4,first-choice keeper,0,0,0,,miss,False
Switzerland,Granit Xhaka,MID,0.7,captain + deep midfielder,2,2,2,2025-11-15,exact,True
Switzerland,Manuel Akanji,DEF,0.6,centre back,1,1,0,2025-09-05,exact,True
Switzerland,Breel Embolo,FWD,0.5,striker,4,6,0,2025-11-15,exact,True
Switzerland,Yann Sommer,GK,0.5,first-choice keeper,0,0,0,,miss,False
Tunisia,Hannibal Mejbri,MID,0.5,attacking midfielder,1,1,0,2025-10-13,exact,True
Tunisia,Wahbi Khazri,MID,0.4,veteran attacker,0,0,0,,miss,False
Türkiye,Hakan Çalhanoğlu,MID,0.8,deep playmaker + set pieces,1,4,1,2025-11-15,exact,True
Türkiye,Arda Güler,MID,0.7,emerging creative midfielder,1,4,0,2025-10-11,exact,True
Türkiye,Kenan Yıldız,FWD,0.6,attacker,3,4,0,2025-10-14,exact,True
Türkiye,Ferdi Kadıoğlu,DEF,0.5,left back,1,1,0,2026-03-26,exact,True
United States,Christian Pulisic,FWD,1.0,primary attacker,0,1,0,,exact,True
United States,Tyler Adams,MID,0.6,defensive midfield captain,0,0,0,,miss,False
United States,Weston McKennie,MID,0.6,box-to-box midfielder,0,0,0,,miss,False
United States,Folarin Balogun,FWD,0.5,striker,0,2,0,,exact,True
United States,Matt Turner,GK,0.4,first-choice keeper,0,0,0,,miss,False
Uruguay,Federico Valverde,MID,0.9,box-to-box midfielder; team carries,0,2,0,,exact,True
Uruguay,Darwin Núñez,FWD,0.7,striker,0,2,0,,exact,True
Uruguay,Ronald Araújo,DEF,0.6,centre back,0,0,0,,miss,False
Uruguay,José María Giménez,DEF,0.5,centre back partner,0,0,0,,miss,False
Uzbekistan,Eldor Shomurodov,FWD,0.6,primary striker,1,2,0,2025-06-10,exact,True
